Number,"0-10
 %3
 HW1
 ","0-10
 %3
 Q1
 ","0-10
 %3
 Q2
 ","0-10
 %3
 Q3
 ","0-10
 %3
 Q4
 ","0-10
 %3
 Q5
 ","0-100
 %15
 Midterm
 ","0-100
 %40
 Proj
 ","0-100
 %25
 Final Exam
 ",Total Grade,Dataset,Manual Category ,KNN results,Match result successful,Match result failing,Distance to student 3,Distance to student 4,Distance to student 5,Distance to student 13,Distance to student 14,Distance to student 15,Distance to student 16,Distance to student 21,Distance to student 22,Distance to student 23,Distance to student 30,Distance to student 31,Distance to student 32,Distance to student 36,Distance to student 37,Distance to student 38,Distance to student 39,Distance to student 40,Distance to student 41,Distance to student 42
69,10,25,40,80,95,13.28,42,50,27,46.33,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
70,10,35,70,100,80,15.15,59,60,82,68.5,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
71,,0,70,0,0,3.15,42,0,,9.45,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
72,10,30,50,1,70,9.64,41,80,44,58.79,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
73,10,30,40,0,20,6.9,33,50,31,39.6,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
74,10,35,70,60,50,12.2,28,50,43,47.15,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
75,10,30,70,100,30,12.7,54,50,45,52.05,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
76,10,45,70,90,60,14.25,43,70,47,60.45,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
77,10,35,70,70,20,11.25,26,30,33,35.4,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
78,10,25,50,40,55,10.33,22,50,54,47.13,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
79,10,45,70,80,80,14.75,36,40,37,45.4,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
80,10,40,75,90,55,14.06,49,90,50,69.91,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
81,10,50,70,100,55,14.63,53,70,51,63.33,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
82,10,45,70,100,55,14.43,52,60,52,59.23,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
83,10,30,70,100,75,14.73,62,70,85,73.28,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
84,10,35,75,80,60,13.68,66,90,51,72.33,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
85,10,30,40,1,0,6.04,37,80,57,57.84,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
86,10,40,55,80,55,12.76,45,90,31,63.26,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
87,10,35,60,100,75,14.48,53,60,53,59.68,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
88,10,20,70,20,1,7.8,44,90,31,58.15,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
89,10,5,70,0,0,6.35,18,20,,17.05,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
90,10,25,40,70,70,11.75,45,40,48,46.5,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
91,10,35,70,75,75,13.93,60,70,51,63.68,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
92,10,30,70,100,50,13.6,63,80,41,65.3,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
93,10,40,70,0,0,7.75,43,50,22,39.7,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
94,10,45,75,0,50,10.43,45,40,22,38.68,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
95,10,20,90,60,60,12.95,32,80,43,60.5,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
96,10,30,85,100,30,13.38,47,30,48,44.43,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
97,10,35,75,100,65,14.71,59,50,40,53.56,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
98,10,50,80,100,45,14.63,65,80,53,69.63,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
99,10,35,70,40,55,11.63,48,40,61,50.08,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
100,10,30,45,35,25,8.76,36,70,49,54.41,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
101,10,35,70,100,55,14.03,64,70,50,64.13,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
102,10,35,70,60,50,12.2,58,80,62,68.4,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
103,10,30,70,40,50,11.2,40,30,36,38.2,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
104,8,25,75,100,70,13.93,72,50,62,60.23,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
105,10,30,70,80,70,13.7,75,80,90,79.45,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
106,10,20,70,1,20,7.89,41,50,35,42.79,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
107,10,30,90,100,60,14.95,67,80,59,71.75,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
108,10,35,75,80,55,13.46,53,80,58,67.91,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
109,10,30,70,80,25,11.68,43,70,55,59.88,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
110,10,30,50,80,90,13.7,45,70,57,62.7,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
111,10,25,70,60,25,10.68,32,30,13,30.73,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
112,10,25,70,85,75,13.93,39,40,57,50.03,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
113,10,25,70,80,55,12.83,56,70,41,59.48,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
114,10,30,70,95,50,13.4,37,70,37,56.2,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
115,10,30,75,100,50,13.83,60,30,62,50.33,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
116,10,30,85,50,85,13.86,47,60,34,53.41,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
117,10,35,70,1,55,10.07,54,60,15,45.92,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
118,10,25,30,60,50,10,20,20,,21,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
119,10,30,70,60,55,12.23,50,50,24,45.73,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
120,10,0,70,0,10,6.6,29,20,,18.95,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
121,10,10,70,100,65,13.48,37,70,93,70.28,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
122,2,10,40,0,20,3.7,19,20,,14.55,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
123,8,30,75,60,60,12.08,47,50,56,53.13,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
124,10,20,40,80,0,8.8,58,60,30,49,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
125,10,20,40,100,55,12.08,48,60,39,53.03,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
126,10,45,70,75,80,14.55,56,80,61,70.2,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
127,10,0,40,0,1,4.85,46,40,19,32.5,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
128,10,20,20,40,0,6.3,34,20,,19.4,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
129,7,0,30,0,0,3.45,47,70,,38.5,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
130,10,40,70,0,0,7.75,58,90,47,64.2,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
131,8,20,80,100,60,13.5,25,50,33,45.5,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
132,10,25,70,100,100,15.65,55,70,48,63.9,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
133,2,30,40,40,0,5.2,25,70,35,45.7,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
134,10,37,70,100,80,15.23,71,80,73,76.13,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
135,8,27,45,20,25,7.44,55,30,48,39.69,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
136,10,30,80,85,65,14.13,66,70,45,63.28,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
137,5,25,70,100,10,10.1,60,50,37,48.35,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
138,10,35,80,90,70,14.75,65,90,66,77,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
139,10,40,70,95,80,15.15,55,90,42,69.9,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
140,10,35,70,100,50,13.8,65,70,70,69.05,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
141,10,25,80,100,65,14.53,48,60,45,56.98,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
